"Respondent.ID","Collector.ID","StartDate","EndDate","IP.Address","Ladder","LadderFuture","Ladder2","LadderFuture2","PhysicalHealth","MentalHealth","EmotionalHealth","Purpose","CommunityWellBeingRating","FutureCommunityRating","PositiveCommunityComments","NegativeCommunityComments","Community","Race","Hispanic","AgeGroup","Gender","HispanicLatino","SurveyMonth","SurveyWDay","PersonalRating","PersonalFutureRating","Thriving","Suffering","Struggling","Wellbeing","CommunityOptimism","CommunityPessimism","CommunityContinuity","PersonalOptimism","PersonalPessimism","PersonalContinuity","Outlook","AgeGroup.18.23.years.old","AgeGroup.24.42.years.old","AgeGroup.43.54.years.old","AgeGroup.55.66.years.old","AgeGroup.67.73.years.old","AgeGroup.Choose.not.to.answer","AgeGroup.Over.74","AgeGroup.Under.18","Gender.Choose.not.to.answer","Gender.Female","Gender.Male","Gender.Non.Binary","Race.Asian.Pacific.Islander","Race.Black.or.African.American","Race.Choose.not.to.answer","Race.Multiple.Races","Race.Native.American.or.American.Indian","Race.White","Community.Appleton","Community.Buchanan","Community.Clayton","Community.Combined.Locks","Community.Ellington","Community.Fox.Crossing","Community.Freedom","Community.Grand.Chute","Community.Greenville","Community.Harrison","Community.Hortonville","Community.Kaukauna","Community.Kimberly","Community.Little.Chute","Community.Menasha","Community.Neenah","Community.Sherwood","Community.Vandenbroek","Community.Woodville"
10775826150,224630041,0006-04-20,2019-06-04,"166.181.84.149",3.5,4,2,3.5,2,4,5,4,3,2,"wrap around programs to schools homeless agencies combining","lack of access to mental health services especially children we need more services like catalpa in the valley","Appleton","White","I am not Hispanic or Latino","24-42 years old","Female","NotHispanicLatino",6,"Tue",3.5,4,1,0,0,"Thriving",0,1,0,1,0,0,"Optimism",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10720133889,224630041,0005-10-20,2019-05-10,"107.10.80.233",4,1.5,4.5,4.5,2,3,5,4,3,2,"organized care for everyone","lack of info and organized effort","Appleton","White","Hispanic","Over 74","Female","HispanicLatino",5,"Fri",4,1.5,0,1,0,"Suffering",0,1,0,0,1,0,"Pessimism",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10907006711,224630041,0008-06-20,2019-08-06,"216.56.160.102",2.5,4.5,2.5,4.5,3,4,5,4,2,2,"good quality people","society drugs laziness","Appleton","White","I am not Hispanic or Latino","24-42 years old","Female","NotHispanicLatino",8,"Tue",2.5,4.5,0,0,1,"Struggling",0,0,1,1,0,0,"Optimism",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10830197691,224630041,NA,2019-06-29,"107.133.111.147",4,3.5,4,4,3,3,5,4,4,4,"a lots of green and trails","","Appleton","White","I am not Hispanic or Latino","43-54 years old","Male","NotHispanicLatino",6,"Sat",4,3.5,0,0,1,"Struggling",0,0,1,0,1,0,"Pessimism",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10829279682,224630041,NA,2019-06-28,"216.56.160.102",3,4.5,2.5,4.5,3,4,5,4,2,2,"lots of entertainment parks","drug use criminal activity","Appleton","White","I am not Hispanic or Latino","24-42 years old","Female","NotHispanicLatino",6,"Fri",3,4.5,0,0,1,"Struggling",0,0,1,1,0,0,"Optimism",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10799198886,224630041,NA,2019-06-15,"107.10.111.179",4,4.5,3,3.5,3,3,5,4,4,4,"community events updated public facilities resources a sense of diversity and belonging","innovation the fox river mall and how it s falling apart","Appleton","White","I am not Hispanic or Latino","43-54 years old","Female","NotHispanicLatino",6,"Sat",4,4.5,1,0,0,"Thriving",0,0,1,1,0,0,"Optimism",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10769368249,224630041,NA,2019-05-31,"143.44.50.234",3.5,4,3.5,4,3,5,5,4,4,3,"a collaborative spirit genuine friendliness humility family and faith based values accessibility of nature get it done attitude","fear pride greed identity politics","Appleton","White","I am not Hispanic or Latino","24-42 years old","Female","NotHispanicLatino",5,"Fri",3.5,4,1,0,0,"Thriving",0,1,0,1,0,0,"Optimism",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10761173867,224630041,NA,2019-05-28,"99.52.183.135",4,4,4,4.5,3,3,5,4,3,3,"our excellent police and fire departments","very low commitment to basic sustainability initiatives such as renewable energy and o green building or infrastructure and secondly the massive support of the drinking culture instead is a really weird focal point","Appleton","White","I am not Hispanic or Latino","43-54 years old","Female","NotHispanicLatino",5,"Tue",4,4,1,0,0,"Thriving",0,0,1,0,0,1,"Continuity",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10907901067,224630041,0008-06-20,2019-08-06,"216.56.160.102",3.5,4.5,3.5,4.5,4,3,5,4,3,4,"support","lack of well being","Appleton","Black or African American","I am not Hispanic or Latino","24-42 years old","Male","NotHispanicLatino",8,"Tue",3.5,4.5,1,0,0,"Thriving",1,0,0,1,0,0,"Optimism",0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10907824968,224630041,0008-06-20,2019-08-06,"216.56.160.102",2.5,5,2.5,5,4,4,5,4,4,4,"togetherness","inability to help others in little ways","Appleton","White","I am not Hispanic or Latino","43-54 years old","Female","NotHispanicLatino",8,"Tue",2.5,5,0,0,1,"Struggling",0,0,1,1,0,0,"Optimism",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
